Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term (months),Default_Status (Yes/No)
CUST_1,59,1679634,131948,678,36,No
CUST_2,49,1917836,304657,476,12,Yes
CUST_3,35,1114424,1386316,351,36,Yes
CUST_4,63,1066491,1139100,378,60,Yes
CUST_5,28,1774745,204404,684,48,No
CUST_6,41,1119134,160160,307,48,Yes
CUST_7,59,1636803,1245412,513,24,Yes
CUST_8,39,288059,530891,324,48,No
CUST_9,43,1987430,1266018,749,12,No
CUST_10,31,1032583,618933,756,12,No
CUST_11,31,642136,434903,760,12,No
CUST_12,44,1882252,1367964,497,60,Yes
CUST_13,56,398303,831608,393,48,Yes
CUST_14,60,711162,1184077,736,48,Yes
CUST_15,44,673573,1216026,826,12,No
CUST_16,23,1513982,1377676,677,24,No
CUST_17,42,529125,1007977,403,24,Yes
CUST_18,22,1107383,981398,338,48,No
CUST_19,44,1109531,1299234,757,48,No
CUST_20,64,1330548,786618,663,36,Yes
CUST_21,50,1586205,430572,434,48,No
CUST_22,58,1303298,1375930,673,12,Yes
CUST_23,22,381890,938513,531,60,Yes
CUST_24,41,1147436,219746,338,48,Yes
CUST_25,53,1517621,150025,346,48,Yes
CUST_26,32,317473,1249728,335,12,Yes
CUST_27,42,1740815,234484,394,36,Yes
CUST_28,64,470741,240043,660,48,No
CUST_29,45,1640351,896278,824,24,No
CUST_30,47,1771836,1164056,445,24,Yes
CUST_31,62,1058823,817128,667,24,No
CUST_32,48,939574,365104,364,60,No
CUST_33,36,525437,284622,527,60,Yes
CUST_34,35,356877,484368,819,48,No
CUST_35,64,1733471,787371,480,48,Yes
CUST_36,23,1784738,1217498,800,48,No
CUST_37,57,1997001,566576,454,60,Yes
CUST_38,27,1072834,1404596,834,48,No
CUST_39,41,643066,930979,734,12,No
CUST_40,29,534923,779024,398,36,Yes
CUST_41,59,819696,886659,671,24,No
CUST_42,38,1893470,1183009,661,24,Yes
CUST_43,24,320062,123704,411,12,Yes
CUST_44,45,1260676,581149,752,48,No
CUST_45,34,1567741,288366,468,60,Yes
CUST_46,29,1232499,374058,438,48,No
CUST_47,46,1923736,1162464,530,48,Yes
CUST_48,22,1638846,915718,538,24,Yes
CUST_49,40,1443048,635581,552,24,Yes
CUST_50,48,1078878,263596,735,60,No
CUST_51,27,434196,118515,721,24,No
CUST_52,64,407609,466740,602,48,No
CUST_53,28,875302,319209,371,12,Yes
CUST_54,55,483006,1263013,562,60,Yes
